LON,LAT,PLOTID,PLOT_lon,PLOT_lat,random,subset
103.7645874,20.61411577,998,103.7645874,20.61411577,-1.512081154,1
101.3482813,20.93197713,633,101.3482813,20.93197713,-0.871081427,1
100.9689685,21.00662437,991,100.9689685,21.00662437,-0.675992354,1
101.4336137,21.04978014,965,101.4336137,21.04978014,-0.303378713,1
102.4622356,20.61507809,725,102.4622356,20.61507809,-0.188204973,1
101.1040701,21.12337227,829,101.1040701,21.12337227,0.502352237,1
101.1517005,18.55139038,964,101.1517005,18.55139038,-1.517421761,1
101.0004219,20.69520224,721,101.0004219,20.69520224,-1.74220376,1
102.0075084,20.10209002,789,102.0075084,20.10209002,-1.692020511,1
102.3143217,20.47524482,899,102.3143217,20.47524482,-1.686593675,1
102.4134119,19.63765875,505,102.4134119,19.63765875,-3.124969725,1
101.4284547,20.85943888,529,101.4284547,20.85943888,-2.792731339,1
100.3796597,20.77131386,718,100.3796597,20.77131386,-2.734905403,1
101.846294,19.64142602,863,101.846294,19.64142602,-2.482536689,1
102.2767059,20.63053579,675,102.2767059,20.63053579,-2.334808133,1
102.2414901,20.67799454,775,102.2414901,20.67799454,-2.19675386,1
103.0397352,20.35008083,609,103.0397352,20.35008083,-2.179631897,1
103.5747947,20.64049002,850,103.5747947,20.64049002,-2.173700945,1
102.6094289,20.3260536,717,102.6094289,20.3260536,-2.140895053,1
103.1688334,20.12511699,502,103.1688334,20.12511699,-2.104373518,1
101.5215285,20.84785052,584,101.5215285,20.84785052,-2.103442038,1
101.6473655,20.49260665,898,101.6473655,20.49260665,-2.09295094,1
102.7712476,20.89264712,688,102.7712476,20.89264712,-2.077060365,1
101.189141,20.73349861,617,101.189141,20.73349861,-1.949320224,1
101.3606313,18.61920065,920,101.3606313,18.61920065,-1.860034959,1
103.0363096,20.93684109,929,103.0363096,20.93684109,-1.85173166,1
101.6813147,20.04835745,914,101.6813147,20.04835745,-1.787951077,1
101.1291674,20.37525692,840,101.1291674,20.37525692,-1.756260899,1
101.2095255,18.51727487,619,101.2095255,18.51727487,-1.752182209,1
104.3158306,19.95434498,988,104.3158306,19.95434498,-1.74874331,1
101.7519517,19.55302468,951,101.7519517,19.55302468,-1.726027938,1
102.6135647,20.2889182,872,102.6135647,20.2889182,-1.723918295,1
102.2786275,20.17520617,783,102.2786275,20.17520617,-1.700103634,1
100.4770735,20.22523235,904,100.4770735,20.22523235,-1.698306656,1
100.5789907,20.99600983,882,100.5789907,20.99600983,-1.696645831,1
100.7610291,20.26245179,655,100.7610291,20.26245179,-1.656584713,1
101.4818844,19.31089354,910,101.4818844,19.31089354,-1.643666439,1
101.5866362,20.74337763,833,101.5866362,20.74337763,-1.622958407,1
100.7167181,20.24125553,638,100.7167181,20.24125553,-1.62167984,1
101.3557508,20.43277346,720,101.3557508,20.43277346,-1.588781998,1
104.3939609,20.12490449,706,104.3939609,20.12490449,-1.58258017,1
101.5616308,19.32807182,831,101.5616308,19.32807182,-1.568796998,1
102.2804997,19.65641499,707,102.2804997,19.65641499,-1.553423853,1
104.1959376,20.56137265,933,104.1959376,20.56137265,-1.513206821,1
104.2528049,20.39298356,819,104.2528049,20.39298356,-1.502270847,1
102.1677449,20.59711478,616,102.1677449,20.59711478,-1.487820985,1
101.5005408,19.71337868,507,101.5005408,19.71337868,-1.479830916,1
101.2101954,17.97661416,547,101.2101954,17.97661416,-1.478303385,1
102.4117494,20.76167117,855,102.4117494,20.76167117,-1.441920474,1
103.4182155,20.03526147,781,103.4182155,20.03526147,-1.432870637,1
103.8963341,20.37370848,644,103.8963341,20.37370848,-1.429692288,1
101.5388683,19.5377284,724,101.5388683,19.5377284,-1.417971188,1
101.806233,19.8903597,862,101.806233,19.8903597,-1.40905721,1
101.8333629,20.58319083,536,101.8333629,20.58319083,-1.395538241,1
101.1666969,20.01302971,809,101.1666969,20.01302971,-1.370671663,1
