LON,LAT,PLOTID,OldPlotId
105.6137152,16.92628116,1,139378023
106.1351873,16.55734308,2,139378024
106.7350822,16.39753279,3,139378025
106.1200956,16.63522701,4,139378029
106.1421941,16.85217015,5,139378033
106.1478535,16.84543279,6,139378034
106.1179396,16.56300246,7,139378036
106.6132706,16.32665571,8,139378037
106.1068903,16.87049578,9,139378038
105.6940246,16.74598928,10,139378040
105.5202006,16.92035228,11,139378041
106.5089762,16.19056094,12,140738328
106.5935975,16.20538315,13,140738335
106.6391421,16.31479795,14,140738339
106.6240504,16.35279668,15,140738341
106.4849912,16.22882918,16,140738343
105.700223,16.7252382,17,140738344
106.2966145,16.56812286,18,140738345
105.9473495,16.06605445,19,140738347
106.348088,16.36734939,20,140738348
106.2882602,16.42744668,21,140738357
106.543741,16.8397734,22,139377972
105.8357788,16.69370734,23,139377974
105.3447596,16.72928062,24,139377975
105.9317188,16.17897268,25,139377976
106.3831223,16.81875282,26,139377979
105.8794369,16.99554127,27,139377985
105.7692136,16.84031239,28,139377986
105.8026309,17.04566726,29,139377987
106.4313618,16.30320968,30,139377988
106.070778,16.94272033,31,139377989
105.2334584,16.98368351,32,139377990
106.2251984,17.01817882,33,139377991
104.8036145,16.84947521,34,139430122
106.3187131,16.72658567,35,139430128
106.1411161,16.96185445,36,139430129
105.2342669,16.89070788,37,140738389
105.773256,16.66460192,38,140738393
105.8357788,16.40723459,39,140738394
105.6538699,15.9439734,40,140738396
104.8475421,16.72658567,41,140738401
105.7371437,16.41531943,42,140738403
105.6118288,16.67726817,43,140738411
106.5211035,16.52473423,44,140738376
106.6345607,16.54764127,45,140742371
105.9527394,16.68319705,46,140742375
106.5472445,16.43041113,47,140742377
105.2003105,16.3021317,48,140742380
