"","x"
"1",139342225
"2",139342227
"3",139342228
"4",139342229
"5",139342230
"6",139342231
"7",139342232
"8",139342233
"9",139342234
"10",139342235
"11",139342236
"12",139342237
"13",139342238
"14",139342239
"15",139342240
"16",139342241
"17",139342242
"18",139342243
"19",139342244
"20",139342245
"21",139342246
"22",139342247
"23",139342248
"24",139342249
"25",139342250
"26",139342251
"27",139342252
"28",139342253
"29",139342254
"30",139342255
"31",139342256
"32",139342257
"33",139342258
"34",139342259
"35",139342260
"36",139342261
"37",139342262
"38",139342263
"39",139342264
"40",139342265
"41",139342266
"42",139342267
"43",139342268
"44",139342269
"45",139342270
"46",139342271
"47",139342272
"48",139342273
"49",139342274
"50",139377972
"51",139377973
"52",139377974
"53",139377975
"54",139377976
"55",139377977
"56",139377978
"57",139377979
"58",139377980
"59",139377981
"60",139377982
"61",139377983
"62",139377984
"63",139377985
"64",139377986
"65",139377987
"66",139377988
"67",139377989
"68",139377990
"69",139377991
"70",139377992
"71",139377993
"72",139377994
"73",139377995
"74",139377996
"75",139377997
"76",139377998
"77",139377999
"78",139378000
"79",139378001
"80",139378002
"81",139378003
"82",139378004
"83",139378005
"84",139378006
"85",139378007
"86",139378008
"87",139378009
"88",139378010
"89",139378011
"90",139378012
"91",139378013
"92",139378014
"93",139378015
"94",139378016
"95",139378017
"96",139378018
"97",139378019
"98",139378020
"99",139378021
"100",139378022
"101",139378023
"102",139378024
"103",139378025
"104",139378026
"105",139378027
"106",139378028
"107",139378029
"108",139378030
"109",139378031
"110",139378032
"111",139378033
"112",139378034
"113",139378035
"114",139378036
"115",139378037
"116",139378038
"117",139378039
"118",139378040
"119",139378041
"120",139378042
"121",139378043
"122",139378044
"123",139378045
"124",139378046
"125",139378047
"126",139378048
"127",139378049
"128",139378050
"129",139378051
"130",139378052
"131",139378053
"132",139378054
"133",139378055
"134",139378056
"135",139378057
"136",139378058
"137",139378059
"138",139378060
"139",139378061
"140",139378062
"141",139378063
"142",139378064
"143",139378065
"144",139378066
"145",139378067
"146",139378068
"147",139378069
"148",139378070
"149",139378071
"150",139430105
"151",139430106
"152",139430107
"153",139430108
"154",139430109
"155",139430110
"156",139430111
"157",139430112
"158",139430113
"159",139430114
"160",139430115
"161",139430116
"162",139430117
"163",139430118
"164",139430119
"165",139430120
"166",139430121
"167",139430122
"168",139430123
"169",139430124
"170",139430125
"171",139430126
"172",139430127
"173",139430128
"174",139430129
"175",139430130
"176",139430131
"177",139430132
"178",139430133
"179",139430134
"180",139430135
"181",139430136
"182",139430137
"183",139430138
"184",139430139
"185",139430140
"186",139430141
"187",139430142
"188",139430143
"189",139430144
"190",139430145
"191",139430146
"192",139430147
"193",139430148
"194",139430149
"195",140738328
"196",140738329
"197",140738330
"198",140738331
"199",140738332
"200",140738333
"201",140738334
"202",140738335
"203",140738336
"204",140738337
"205",140738338
"206",140738339
"207",140738340
"208",140738341
"209",140738342
"210",140738343
"211",140738344
"212",140738345
"213",140738346
"214",140738347
"215",140738348
"216",140738349
"217",140738350
"218",140738351
"219",140738352
"220",140738353
"221",140738354
"222",140738355
"223",140738356
"224",140738357
"225",140738368
"226",140738369
"227",140738370
"228",140738371
"229",140738372
"230",140738373
"231",140738374
"232",140738375
"233",140738376
"234",140738377
"235",140738378
"236",140738379
"237",140738380
"238",140738381
"239",140738382
"240",140738383
"241",140738384
"242",140738385
"243",140738386
"244",140738387
"245",140738388
"246",140738389
"247",140738390
"248",140738391
"249",140738392
"250",140738393
"251",140738394
"252",140738395
"253",140738396
"254",140738397
"255",140738398
"256",140738399
"257",140738400
"258",140738401
"259",140738402
"260",140738403
"261",140738404
"262",140738405
"263",140738406
"264",140738407
"265",140738408
"266",140738409
"267",140738410
"268",140738411
"269",140738412
"270",140738413
"271",140738414
"272",140738415
"273",140738416
"274",140738417
"275",140738418
"276",140738419
"277",140738420
"278",140738421
"279",140738422
"280",140738423
"281",140738424
"282",140738425
"283",140738426
"284",140738427
"285",140738428
"286",140738429
"287",140738430
"288",140738431
"289",140738432
"290",140738433
"291",140738434
"292",140738435
"293",140738436
"294",140738437
"295",140738438
"296",140738439
"297",140738440
"298",140738441
"299",140738442
"300",140738443
"301",140738444
"302",140738445
"303",140738446
"304",140738447
